EQ1.1
E
E
ABEL	2015.8631	0.00000
AGRI	2014.9268	0.00000
AIGI	2015.9726	0.00000
AMFI	2015.7700	0.00000
ANOC	2014.9049	0.00000
ARSA	2014.9049	0.00000
ART1	2014.9076	0.00000
ASSO	2015.9726	0.00000
DRA1	2015.9671	0.00000
EGIO	2016.5394	0.00000
EXAN	2015.9288	0.00000
EYPA	2014.9049	0.00000
FISK	2015.9452	0.00000
GAL3	2014.9049	0.00000
GEYB	2014.9103	0.00000
HIMA	2014.9925	0.00000
IGOU	2014.9076	0.00000
ITEA	2014.9049	0.00000
KARP	2014.9049	0.00000
KASI	2014.9049	0.00000
KIPO	2016.2601	0.00000
KLOK	2014.9049	0.00000
KOPA	2015.0472	0.00000
KOUN	2014.9049	0.00000
KRDI	2014.9049	0.00000
KRIN	2014.9049	0.00000
KTCH	2014.9103	0.00000
LAM8	2014.9049	0.00000
LAMJ	2015.0418	0.00000
LARM	2014.9049	0.00000
LEPE	2015.0144	0.00000
LFKD	2015.0418	0.00000
LIDO	2014.9049	0.00000
MESA	2014.9049	0.00000
MESO	2014.9076	0.00000
NAFP	2014.9049	0.00000
PAT0	2014.9295	0.00000
PATR	2014.9049	0.00000
PAXO	2014.9131	0.00000
PONT	2014.9459	0.00000
PSAR	2014.9049	0.00000
PSAT	2014.9049	0.00000
PVOG	2014.9049	0.00000
PYL1	2014.9076	0.00000
PYRG	2014.9049	0.00000
RETS	2014.9569	0.00000
RGNI	2015.0965	0.00000
RLSO	2014.9049	0.00000
ROD3	2014.9076	0.00000
